YYYYMM,nuclear,renewable
200001,0.737981,0.505523
200002,0.669318,0.498993
200003,0.654279,0.558474
200004,0.607585,0.567147
200005,0.667205,0.558824
200006,0.701857,0.507744
200007,0.719306,0.525592
200008,0.701102,0.505423
200009,0.607662,0.443549
200010,0.547207,0.469433
200011,0.58894,0.484428
200012,0.65991,0.479066
200101,0.717508,0.447068
200102,0.639868,0.40448
200103,0.648935,0.456134
200104,0.58484,0.424534
200105,0.642374,0.434866
200106,0.710365,0.451259
200107,0.722301,0.438437
200108,0.714192,0.445553
200109,0.661861,0.395829
200110,0.631394,0.412271
200111,0.651034,0.401014
200112,0.704181,0.448477
200201,0.740608,0.474996
200202,0.643836,0.428792
200203,0.65827,0.456493
200204,0.6102,0.48802
200205,0.658182,0.527243
200206,0.693055,0.532999
200207,0.735334,0.525789
200208,0.739061,0.469218
200209,0.673308,0.431006
200210,0.631668,0.445356
200211,0.642395,0.458055
200212,0.719511,0.488098
200301,0.721318,0.46776
200302,0.635136,0.440756
200303,0.624624,0.506109
200304,0.591715,0.509854
200305,0.648269,0.557675
200306,0.668892,0.548216
200307,0.725921,0.52384
200308,0.719367,0.502364
200309,0.662669,0.445411
200310,0.625489,0.452109
200311,0.621151,0.46379
200312,0.715071,0.526215
200401,0.738367,0.515171
200402,0.668455,0.475945
200403,0.659937,0.510784
200404,0.611292,0.4899
200405,0.676959,0.523171
200406,0.706331,0.534455
200407,0.750556,0.524
200408,0.741102,0.502415
200409,0.687539,0.480217
200410,0.652067,0.474122
200411,0.614635,0.485639
200412,0.715534,0.558834
200501,0.728728,0.537941
200502,0.636042,0.489157
200503,0.642216,0.523941
200504,0.579031,0.513724
200505,0.65716,0.568349
200506,0.690282,0.562191
200507,0.741687,0.562519
200508,0.744938,0.517276
200509,0.696488,0.464645
200510,0.639055,0.477072
200511,0.656557,0.486938
200512,0.748627,0.529693
200601,0.750397,0.589449
200602,0.653394,0.526991
200603,0.664927,0.55169
200604,0.600714,0.579685
200605,0.655064,0.618052
200606,0.713665,0.608245
200607,0.753266,0.57393
200608,0.751488,0.53711
200609,0.695413,0.484005
200610,0.60011,0.496678
200611,0.640629,0.522559
200612,0.73556,0.548316
200701,0.776251,0.59699
200702,0.684143,0.490972
200703,0.674497,0.577031
200704,0.601035,0.565747
200705,0.682043,0.593539
200706,0.722934,0.557917
200707,0.762954,0.561447
200708,0.763084,0.542243
200709,0.708832,0.482333
200710,0.647062,0.503548
200711,0.680729,0.501339
200712,0.755027,0.54978
200801,0.739318,0.593578
200802,0.680743,0.541629
200803,0.676417,0.5968
200804,0.599242,0.606344
200805,0.67756,0.664844
200806,0.734978,0.673878
200807,0.776775,0.64588
200808,0.758994,0.597397
200809,0.700847,0.532787
200810,0.656598,0.553918
200811,0.662742,0.549273
200812,0.762278,0.618001
200901,0.775038,0.621668
200902,0.671752,0.53664
200903,0.703269,0.622888
200904,0.621353,0.654845
200905,0.683971,0.697002
200906,0.729356,0.687383
200907,0.762973,0.645185
200908,0.755606,0.617989
200909,0.687698,0.568841
200910,0.606841,0.628395
200911,0.617805,0.637118
200912,0.739558,0.68592
201001,0.758495,0.654705
201002,0.681945,0.598671
201003,0.675562,0.667291
201004,0.602151,0.652821
201005,0.696713,0.710935
201006,0.713885,0.751575
201007,0.75164,0.697831
201008,0.748093,0.656277
201009,0.725068,0.61827
201010,0.655872,0.63838
201011,0.654872,0.670005
201012,0.770138,0.713392
201101,0.761181,0.722095
201102,0.677953,0.695638
201103,0.687083,0.798727
201104,0.570783,0.798248
201105,0.596583,0.821054
201106,0.682987,0.819324
201107,0.757017,0.777712
201108,0.746487,0.736592
201109,0.699506,0.665079
201110,0.662758,0.692759
201111,0.674655,0.719531
201112,0.751706,0.752382
201201,0.758482,0.739917
201202,0.669053,0.672379
201203,0.646854,0.777529
201204,0.585471,0.754787
201205,0.650551,0.797621
201206,0.682603,0.767371
201207,0.724406,0.738838
201208,0.729361,0.712826
201209,0.67601,0.637759
201210,0.626049,0.676584
201211,0.594293,0.675645
201212,0.718688,0.755226
201301,0.746119,0.782448
201302,0.64244,0.700846
201303,0.657737,0.766613
201304,0.593157,0.816271
201305,0.6567,0.855176
201306,0.694124,0.823995
201307,0.737064,0.809361
201308,0.745477,0.739898
201309,0.687533,0.69941
201310,0.660205,0.739403
201311,0.678929,0.752401
201312,0.744947,0.790113
201401,0.765208,0.809335
201402,0.655141,0.697525
201403,0.652611,0.845721
201404,0.589726,0.857009
201405,0.658367,0.853839
201406,0.712658,0.85022
201407,0.752422,0.817594
201408,0.743936,0.757484
201409,0.706343,0.708564
201410,0.652547,0.759577
201411,0.681301,0.800001
201412,0.767299,0.81316
201501,0.776715,0.793419
201502,0.66368,0.748463
201503,0.67503,0.81277
201504,0.625226,0.812101
201505,0.688414,0.808393
201506,0.716542,0.774584
201507,0.746829,0.799164
201508,0.75732,0.775823
201509,0.69521,0.729731
201510,0.633451,0.755375
201511,0.63024,0.804156
201512,0.728229,0.856995
201601,0.758464,0.843224
201602,0.686444,0.843302
201603,0.691785,0.91566
201604,0.652214,0.869556
201605,0.696257,0.884955
201606,0.70252,0.839892
201607,0.735713,0.858129
201608,0.748023,0.804292
201609,0.684457,0.773612
201610,0.635149,0.815023
201611,0.68164,0.815704
201612,0.749446,0.901032